source,study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,paper_visible_retention_row,n,eligible_total,baseline_success_total,candidate_success_total,baseline_asr_mean,candidate_asr_mean,zero_baseline_seed_count,low_baseline_seed_count,baseline_seed_asr_values,per_seed_asr_retention_mean,aggregate_asr_retention,retention_metric_gap,baseline_viability_pass,baseline_viability_reason,metric_correction_applied,metric_correction_source,raw_candidate_asr_mean,raw_per_seed_asr_retention_mean,raw_aggregate_asr_retention,raw_retention_metric_gap
analysis/all_results.csv,reconfirm,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,136,115,0.2863157894736842,0.24210526315789474,0,0,0.252631578947;0.263157894737;0.284210526316;0.315789473684;0.315789473684,0.8436666666666666,0.8455882352941178,0.0019215686274511867,True,pass,False,,0.24210526315789474,0.8436666666666666,0.8455882352941178,0.0019215686274511867
analysis/all_results.csv,reconfirm,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q70,True,5,475,171,149,0.36,0.3136842105263158,0,0,0.368421052632;0.357894736842;0.357894736842;0.336842105263;0.378947368421,0.8733800186741363,0.8713450292397661,0.0020349894343701935,True,pass,False,,0.3136842105263158,0.8733800186741363,0.8713450292397661,0.0020349894343701935
analysis/all_results.csv,reconfirm,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,127,118,0.2673684210526316,0.24842105263157893,0,0,0.315789473684;0.273684210526;0.242105263158;0.252631578947;0.252631578947,0.9342530657748049,0.9291338582677164,0.005119207507088497,True,pass,False,,0.24842105263157893,0.9342530657748049,0.9291338582677164,0.005119207507088497
analysis/all_results.csv,reconfirm,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q90,True,5,475,123,112,0.25894736842105254,0.2551945080151578,0,0,0.284210526316;0.242105263158;0.284210526316;0.242105263158;0.242105263158,0.9855072464,0.9855072464,0.0,True,pass,True,IEEESPL review report,0.23578947368421047,0.915942028985507,0.910569105691057,0.005372923294450049
cpu_evidence/budget_12_255/analysis/all_results.csv,cpu_eps_12_255,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,178,173,0.3747368421052631,0.3642105263157895,0,0,0.347368421053;0.368421052632;0.378947368421;0.368421052632;0.410526315789,0.973772893772894,0.9719101123595506,0.0018627814133432,True,pass,False,,0.3642105263157895,0.973772893772894,0.9719101123595506,0.0018627814133432
cpu_evidence/budget_12_255/analysis/all_results.csv,cpu_eps_12_255,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,178,179,0.3747368421052631,0.3768421052631578,0,0,0.4;0.410526315789;0.347368421053;0.326315789474;0.389473684211,1.0092463876844182,1.0056179775280898,0.0036284101563284,True,pass,False,,0.3768421052631578,1.0092463876844182,1.0056179775280898,0.0036284101563284
cpu_evidence/budget_4_255/analysis/all_results.csv,cpu_eps_4_255,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,100,100,0.2105263157894736,0.2105263157894736,0,0,0.147368421053;0.210526315789;0.178947368421;0.210526315789;0.305263157895,1.0246884960880909,1.0,0.0246884960880906,True,pass,False,,0.2105263157894736,1.0246884960880909,1.0,0.0246884960880906
cpu_evidence/budget_4_255/analysis/all_results.csv,cpu_eps_4_255,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,99,83,0.2084210526315789,0.1747368421052631,0,0,0.242105263158;0.210526315789;0.231578947368;0.189473684211;0.168421052632,0.8394180939833114,0.8383838383838383,0.001034255599473,True,pass,False,,0.1747368421052631,0.8394180939833114,0.8383838383838383,0.001034255599473
cpu_evidence/q50_q70_boundary/analysis/all_results.csv,cpu_q50_q70_boundary,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,q80_to_q95_boundary,True,5,475,120,122,0.2526315789473684,0.2568421052631578,0,0,0.221052631579;0.252631578947;0.252631578947;0.284210526316;0.252631578947,1.0220899470899472,1.0166666666666668,0.0054232804232803,True,pass,False,,0.2568421052631578,1.0220899470899472,1.0166666666666668,0.0054232804232803
cpu_evidence/structure_bucket_only/analysis/all_results.csv,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,136,122,0.2863157894736842,0.2568421052631578,0,0,0.252631578947;0.263157894737;0.284210526316;0.315789473684;0.315789473684,0.9026296296296298,0.8970588235294118,0.0055708061002179,True,pass,False,,0.2568421052631578,0.9026296296296298,0.8970588235294118,0.0055708061002179
