path,method,target_model,suite,seed,duration_sec,device,study_id,source_profile,dataset,model_family,source_model,defense_profile,thread_env_MKL_NUM_THREADS,thread_env_OMP_NUM_THREADS,adversarial_successes,asr,clean_accuracy,clean_drop,eligible_examples,examples,jpeg_clean_accuracy,linf,lpips,mean_estimator_time,ssim,evidence_tier,evidence_status,timing_scope,run_directory,source_file,claim_scope,perturbation_budget,structure_variant,run_config,inclusion_policy
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/dynamic_uniform/seed_42.json,baseline_strong,mobilenet_v2,dynamic_uniform,42,55.47381870006211,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,24,0.2526315789473684,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.5204768708281335,0.8866156823933125,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/dynamic_uniform/seed_43.json,baseline_strong,mobilenet_v2,dynamic_uniform,43,55.05792529997416,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,25,0.2631578947368421,0.7421875,0.078125,95,128,0.6640625,0.0313725769519805,,0.5185682739490101,0.8866189196705818,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/dynamic_uniform/seed_44.json,baseline_strong,mobilenet_v2,dynamic_uniform,44,55.639080999884754,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,27,0.2842105263157894,0.7421875,0.0390625,95,128,0.703125,0.0313725769519805,,0.5233154395925037,0.8867928311228752,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/dynamic_uniform/seed_45.json,baseline_strong,mobilenet_v2,dynamic_uniform,45,55.494177900021896,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,30,0.3157894736842105,0.7421875,0.0546875,95,128,0.6875,0.0313725769519805,,0.5227292416748242,0.8870153613388538,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/dynamic_uniform/seed_46.json,baseline_strong,mobilenet_v2,dynamic_uniform,46,55.67963070003316,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,30,0.3157894736842105,0.7421875,0.0703125,95,128,0.671875,0.0313725769519805,,0.5211943479104472,0.8866535164415836,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/static_q80/seed_42.json,baseline_strong,mobilenet_v2,static_q80,42,54.16406790004112,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,30,0.3157894736842105,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.5094737614538948,0.8859920091927052,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/static_q80/seed_43.json,baseline_strong,mobilenet_v2,static_q80,43,55.14587650005706,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,26,0.2736842105263158,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.5218660500055801,0.8861808143556118,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/static_q80/seed_44.json,baseline_strong,mobilenet_v2,static_q80,44,55.01447269995697,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,23,0.2421052631578947,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.5185595677127518,0.8869274333119392,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/static_q80/seed_45.json,baseline_strong,mobilenet_v2,static_q80,45,55.16870920010842,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,24,0.2526315789473684,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.5187801635547657,0.8863278813660145,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/baseline_strong/mobilenet_v2/static_q80/seed_46.json,baseline_strong,mobilenet_v2,static_q80,46,55.43732269993052,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,24,0.2526315789473684,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.5200498354339895,0.8864354677498341,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/vf_advjpeg/mobilenet_v2/dynamic_uniform/seed_42.json,vf_advjpeg,mobilenet_v2,dynamic_uniform,42,24.21395929995924,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,23,0.2421052631578947,0.7421875,0.03125,95,128,0.7109375,0.0313725769519805,,0.1707681395904122,0.8865086697041988,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/vf_advjpeg/mobilenet_v2/dynamic_uniform/seed_43.json,vf_advjpeg,mobilenet_v2,dynamic_uniform,43,24.479523699963465,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,26,0.2736842105263158,0.7421875,0.078125,95,128,0.6640625,0.0313725769519805,,0.1714946312495158,0.886645644903183,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/vf_advjpeg/mobilenet_v2/dynamic_uniform/seed_44.json,vf_advjpeg,mobilenet_v2,dynamic_uniform,44,25.73140740022064,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,22,0.231578947368421,0.7421875,0.0390625,95,128,0.703125,0.0313725769519805,,0.1794042645827479,0.8868641331791878,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/vf_advjpeg/mobilenet_v2/dynamic_uniform/seed_45.json,vf_advjpeg,mobilenet_v2,dynamic_uniform,45,24.580403300002217,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,25,0.2631578947368421,0.7421875,0.0546875,95,128,0.6875,0.0313725769519805,,0.1723214437564214,0.886970765888691,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
cpu_structure_bucket_only/runs/vf_advjpeg/mobilenet_v2/dynamic_uniform/seed_46.json,vf_advjpeg,mobilenet_v2,dynamic_uniform,46,24.40274700010196,cpu,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,,,26,0.2736842105263158,0.7421875,0.0703125,95,128,0.671875,0.0313725769519805,,0.1714002385366863,0.8866253048181534,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_bucket_only/runs,cpu_structure_bucket_only/analysis/all_results.csv,structure_ablation,8/255,bucket_only,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_bucket_only.yaml,included_in_cpu_structure_ablation_only
